Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Item Type,Technical Notes,Content Type,Format,Resource Type,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Publisher,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
NOVA,,Default Unit,,Hidden City (The),2020-02-10,,,,,,1988-05-19,,"PROGRAM DESCRIPTION: The Hidden City leads off the science series' 17th season with a behind-the-scenes look at the workings of New York City's water, power, and waste system. Actor Judd Hirsch narrates this behind-the scenes look at what makes New York City tick.


ITEM DESCRIPTION: B-roll of New York Harbor, including a tugboat moving a boat, and ships in the water. Includes BITC.",Original footage,"1/22/2020 EMu: No tone over bars at top. Timecode begins after bars. Timecode burned onto bottom of frame during content. No audio over top segments, audio plays over black at tail. Audio cuts out at times.  , Video Noise, Analog Video Dropouts, Audio Hiss, Audio Hum",Scenics / B-roll,,Moving Image,,,,,,,,,,,,,,,Architecture and Design,Transportation and Public Works,,,,,,,,,,,,,,video recording identifier,297726,,,barcode297726.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode297726/PreservationMaster/barcode297726.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
NOVA,,Default Unit,,Hidden City (The),2020-02-10,,,,,,1988-05-12,,"PROGRAM DESCRIPTION: The Hidden City leads off the science series' 17th season with a behind-the-scenes look at the workings of New York City's water, power, and waste system. Actor Judd Hirsch narrates this behind-the scenes look at what makes New York City tick.


ITEM DESCRIPTION: Original interview about the New York City water system. The interview takes place at the base of the Kensico Dam. The interviewee discusses the ways that development has impacted the water system and reminisces about the height of the drought of 1982 and '83. Includes BITC.",Original footage,"1/22/2020 EMu: No tone over bars at top. Timecode burned at bottom of frame. Timecode begins after bars and over black tail. Exposure fluctuates. Film artifacts present. No audio at top over segments. Audio plays over black at tail.  , Analog Video Dropouts, Audio Hiss, Video Picture Breaks up",Scenics / B-roll,,Moving Image,,,,,,,,,,,,,"New York, NY",,Transportation and Public Works,,,,,,,,,,,,,,,video recording identifier,297729,,,barcode297729.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode297729/PreservationMaster/barcode297729.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
The Group,,Default Unit,,Genetic Engineering,2020-02-07,,,,,,1991-11-04,,"PROGRAM DESCRIPTION: Panelists: Ellen Harris, Professor of Music, MIT; Christopher Ricks, Professor of English, Boston University; Paul Watanabe, professor of political science, UMass/Boston; Margaret Boerner, attorney; Nancy Cott, professor of history, Yale University.


ITEM DESCRIPTION: 11/4/91 Genetic Engineering
Debate show during which they discuss the potential of genetic engineering and how that intersects with current political concerns and issues. Featuring Nancy Cott, Paul Watanabe, Ellen Harris, Margaret Boerner, and Christopher Ricks.",Green Label Master (WGBH program),"    , Audio Hiss",Debate,,Moving Image,,,,,,,,,,,,,,,Social Issues - Misogyny,Social Issues - Ableism,,,,,,,,,,,,,,video recording identifier,10986,,,barcode10986.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode10986/PreservationMaster/barcode10986.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
The Group,,Default Unit,,Repeat Offenders,2020-02-10,,,,,,1993-10-12,,"PROGRAM DESCRIPTION: Panelists: Marianne Hinkle, assistant district attorney, Norfolk County; Edward Loughran, director, RFK Memorial National Juvenile Justice Project; Kim Hawkins, professor, Northeastern University Law School; Robert Gittens, first assistant district attorney, Suffolk County; Frederick Brown, Associate justice, Mass. appeals court.


ITEM DESCRIPTION: Roundtable discussion/debate on legal system and recidivism, failures of the legal system, and need for better systems with young offenders specifically. Participants include Frederick Brown, associate justice of the MA Appeals Court; Bob Gittens, assistant DA of Suffolk County; Kim Hawkins, Professor at Northeastern University Law School; Marianne Hinkel, assistant DA of Norfolk County; and Edward Loughran, Director of the RFK Memorial National Juvenile Justice Project.",Green Label Master (WGBH program),"1/23/2020 EMu: Audio levels fluctuate. Occasional breakup throughout., Audio Hiss, Video Picture Breaks up",Debate,,Moving Image,,,,,,,,,,,,,,,Legal System - Criminal Justice,Legal System - Prisons,Incarceration,Social Issues - Inequality,,,,,,,,,,,,video recording identifier,11536,,,barcode11536.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode11536/PreservationMaster/barcode11536.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
The Group,,Default Unit,,pope and morality,2020-02-07,,,,,,1993-10-11,,"PROGRAM DESCRIPTION: Panelists: Margery Eagan, Columnist, Boston Herald; Virginia Sullivan Finn, writer and lecturer; James Franklin, religion writer, The Boston Globe; Greer Gordon, department of religious studies, Regis College; Bernadette Brooten, professor of Christian studies, Brandeis University.


ITEM DESCRIPTION: 10/11/93                   The Pope's Encyclical
Discussion by the Group on recent paper released by the pope, on morality. Featuring Bernadette Brooten Professor of Christian Studies at Brandeis University, Margery Eagan columnist for The Boston Herald, James Franklin Religion Writer for the Boston Globe, Greer Gordon Department of religious studies at Regis College, and Virginia Sullivan Finn Weston School of Theology",Green Label Master (WGBH program),"  , Audio Hiss, Video Picture Breaks up",Debate,,Moving Image,,,,,,,,,,,,,,,Religion,Social Issues - Misogyny,,,,,,,,,,,,,,video recording identifier,11569,,,barcode11569.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode11569/PreservationMaster/barcode11569.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
The Group,,Default Unit,,Fall TV Season,2020-02-07,,,,,,1993-10-13,,"PROGRAM DESCRIPTION: Panelists: Rebecca Rollins, freelance journalist, dog breeder; Michael Blowen, Columnist, The Boston Globe; Kate Mattes, owner, Kate's Mystery Books; Monica Collins, Television columnist, Boston Herald; David Rosenbaum, Critic, Improper Bostonian, Author, Sasha's Trick.


ITEM DESCRIPTION: 10/13/93                   The Fall TV Season
Discussion by The Group on the new season of television, including recent hits such as NYPD Blue. Featuring Michael Blowen Columnist for the Boston Globe, Monica Collins Television Columnist for the Boston Herald, Kate Mattes owner of Kate's Mystery Books, Rebecca Rollins Freelance Journalist, and David Rosenbaum author of Zaddik",Green Label Master (WGBH program),"2/7/2020 JGi: No timecode. , Audio Hiss",Debate,,Moving Image,,,,,,,,,,,,,,,Film and Television,,,,,,,,,,,,,,,video recording identifier,11570,,,barcode11570.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode11570/PreservationMaster/barcode11570.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"Note To You, A",,Default Unit,,"Appassionata Sonata, The",2020-01-30,,,,,,1996-11-30,,"PROGRAM DESCRIPTION: Series Description: A Note To You continues to educate, amuse and delight as it has for more than three decades. Explore the fascinating world of music and composition with host Virginia Eskin as she vividly illustrates what harmony means, how rhythm makes a melody beautiful, and how cultural concerns shape music, in addition to sharing information and stories about the music itself. Produced in conjunction with Northeastern University, A Note To You has earned national and international recognition from such prestigious juries as the New York International Festivals, The Ohio State Awards, and the Armstrong Awards.   A Note To You is distributed nationally by WGBH Radio.


ITEM DESCRIPTION: 9701
Note:  DAT cassette is contained in 茂驴陆5 inch reel茂驴陆 box
Performance of Appassionata Sonata by Beethoven, Piano sonata 23 in F Minor, with introduction by host",Radio program (Master),OK,Recorded Music,,Sound,,,,,,,,,,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,37938,,,barcode37938_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode37938/PreservationMaster/barcode37938_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"Note To You, A",,Default Unit,,"Music Shelf, The",2020-01-30,,,,,,1996-12-07,,"PROGRAM DESCRIPTION: Series Description: A Note To You continues to educate, amuse and delight as it has for more than three decades. Explore the fascinating world of music and composition with host Virginia Eskin as she vividly illustrates what harmony means, how rhythm makes a melody beautiful, and how cultural concerns shape music, in addition to sharing information and stories about the music itself. Produced in conjunction with Northeastern University, A Note To You has earned national and international recognition from such prestigious juries as the New York International Festivals, The Ohio State Awards, and the Armstrong Awards.   A Note To You is distributed nationally by WGBH Radio.


ITEM DESCRIPTION: 9702
Note:  DAT cassette is contained in 茂驴陆5 inch reel茂驴陆 box
Program on music composed to sound like machines, highlighting a number of different artists. Chorals by Bach, a Mendelson piece, and a DeBussey, and a piece of mechanical music",Radio program (Master),"Audio Pops and/or Clicks, Audio Distortion",Recorded Music,,Sound,,,,,,,,,,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,37939,,,barcode37939_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode37939/PreservationMaster/barcode37939_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"Note To You, A",,Default Unit,,Great Program Music: Romeo And Juliet,2020-02-07,,,,,,1996-12-21,,"PROGRAM DESCRIPTION: Series Description: A Note To You continues to educate, amuse and delight as it has for more than three decades. Explore the fascinating world of music and composition with host Virginia Eskin as she vividly illustrates what harmony means, how rhythm makes a melody beautiful, and how cultural concerns shape music, in addition to sharing information and stories about the music itself. Produced in conjunction with Northeastern University, A Note To You has earned national and international recognition from such prestigious juries as the New York International Festivals, The Ohio State Awards, and the Armstrong Awards.   A Note To You is distributed nationally by WGBH Radio.


ITEM DESCRIPTION: 9703
Note:  DAT cassette is contained in 茂驴陆5 inch reel茂驴陆 box
Program on both of Tchaikovsky's pieces Romeo and Juliet",Radio program (Master),"1/22/2020 JF: Box contained two tape. The appear to be copies. Transferred the DAT marked as ""Master"" , OK",Recorded Music,,Sound,,,,,,,,,,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,37940,,,barcode37940_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode37940/PreservationMaster/barcode37940_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"Note To You, A",,Default Unit,,Mozart Sings,2020-01-30,,,,,,1996-12-11,,"PROGRAM DESCRIPTION: Series Description: A Note To You continues to educate, amuse and delight as it has for more than three decades. Explore the fascinating world of music and composition with host Virginia Eskin as she vividly illustrates what harmony means, how rhythm makes a melody beautiful, and how cultural concerns shape music, in addition to sharing information and stories about the music itself. Produced in conjunction with Northeastern University, A Note To You has earned national and international recognition from such prestigious juries as the New York International Festivals, The Ohio State Awards, and the Armstrong Awards.   A Note To You is distributed nationally by WGBH Radio.


ITEM DESCRIPTION: 9704
Note:  DAT cassette is contained in 茂驴陆5 inch reel茂驴陆 box
Program on a number of Mozart pieces",Radio program (Master),OK,Recorded Music,,Sound,,,,,,,,,,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,37941,,,barcode37941_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/22980/barcode37941/PreservationMaster/barcode37941_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Mystery of the Senses,,Default Unit,,Mystery of the Senses - part 5 Vision,2020-02-11,,,,,,1994-12-20,,"PROGRAM DESCRIPTION: This series, based on the book ""A Natural History of the Senses"" by Diane Ackerman, celebrates and explores the five senses: hearing, smell, taste, touch and vision. 
Hearing: takes viewers to the Greenland ice cap, the most silent place on earth, and to the loudest chanters among the New Zealand Maori. It reveals the tricks of the sound trade that pleasurably fool people in movies like ""Jurassic Park"" and captures the science and wonder as a blind and deaf woman comes to hear for the first time. 
Smell: This episode probes the mysteries of sexual attraction, from the perverse excitement of body odor to the magnetism of bottled fragrance, beginning with ancient frankincense in Arab Oman and culminating in the modern secrets of the Manhattan launch of a new perfume. 
Taste: The delights of taste are discovered in the secrets of a master French chef, at a festive dinner at home and in a graveyard meal shared with long-dead ancestors in Mexico. 
Touch: The most suppressed sense, touch is bound by strict cultural rules. The program uncovers what these restrictions might deny humans in comfort, assurance and arousal. Other subjects examined are the fingertips of a cliff climber, the kneading hands of a potter and the subtle communications of love expressed and love repressed. 
Vision: shows how the brain sorts out images the eye captures and how visual memory and imagination almost instantly recolor reality. Through the diversity of painting, the meaning of individual ""inner vision"" is explored.


ITEM DESCRIPTION: Episode of Nova focused on vision, how human beings take in visual information and process it, and the various quirks of our vision. ",Green Label Master (WGBH program),"1/27/2020 EMu: Tone levels fluctuate. Pillar bars at times.    , Audio Hiss, Audio Hum, Audio Buzz",Documentary,,Moving Image,,,,,,,,,,,,,,,Biology,Science,,,,,,,,,,,,,,video recording identifier,65639,,,barcode65639.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode65639/PreservationMaster/barcode65639.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Apollo 13: To the Edge and Back,,Default Unit,,Apollo 13: To the Edge and Back,2020-02-11,,,,,,1994-05-05,,"PROGRAM DESCRIPTION: This program follows the gripping story of Apollo 13's sudden, devastating emergency - which happened when an oxygen tank ruptured en route to the moon on April 13, 1970, cutting off most of the crew's consumables of air, electricity and water - and the desperate efforts to get the astronauts home alive.  The film tells the inside stories of the major participants in this real-life drama:  the astronauts in space, James Lovell, Fred Haise and Jack Swigert (who is deceased); flight directors Glynn Lunney and Gene Kranz; mission operations chief Christopher Kraft; and, the controllers on the ground who dealt with a bewildering series of emergencies across 200,000 miles.  This program marks the 25th anniversary of the historic moon landing in July, 1969.  Narrated by Will Lyman.


ITEM DESCRIPTION: Not for air, Home video version credits.
Documentary about space travel, specifically the Apollo 13 mission, and the crew of the mission.  Written, Produced and Directed by Noel Buckner and Rob Whittlesey",Green Label Master (WGBH program),"1/28/2020 EMu: Tone levels fluctuate. Black and white footage at times.  , Audio Hum, Audio Hiss, Analog Video Dropouts",Documentary,,Moving Image,,,,,,,,,,,,,,,Science,Biography,Astronomy,,,,,,,,,,,,,video recording identifier,67416,,,barcode67416.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode67416/PreservationMaster/barcode67416.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
