Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Publisher,Genre,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Boston Symphony Orchestra,,Default Unit,,Leinsdorf Conducting: Beethoven; Webern,2500-01-01,,,,,,,,Leinsdorf - Beethoven: Symphony No. 3 (46:48). Reel 2 of 2.,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,136796,,,barcode136796.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode136796/PreservationMaster/barcode136796.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Masterpiece/Classic,,Default Unit,,Vienna 1900,2500-01-01,,,,,,,,,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,137155,,,barcode137155.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode137155/PreservationMaster/barcode137155.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Masterpiece/Classic,,Default Unit,,"Vienna 1900, Episode 5 (Gift of Life)",1975-03-09,,,,,,,,105,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,137157,,,barcode137157.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode137157/PreservationMaster/barcode137157.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
LEXINGTON DISABILITIES,,Default Unit,,Estabrook Arithmetic,2500-01-01,,,,,,,,,Original,local,,general,,,,,,,,,,,,,,,,,video recording identifier,285449,,,barcode285449.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode285449/PreservationMaster/barcode285449.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,1974 Election,2500-01-01,,,,,,,,"Captioned
 FINAL AIR VERSION",Original,local,,general,,,,,,,,,,,,,,,,,video recording identifier,285448,,,barcode285448.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode285448/PreservationMaster/barcode285448.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Crockett's Victory Garden,,Default Unit,,Victory Garden 261,2500-01-01,,,,,,,,"261

 House dub",Backup master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,137873,,,barcode137873.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode137873/PreservationMaster/barcode137873.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Making Things Grow,,Default Unit,,Mea Culpa,2500-01-01,,,,,,,,#149,Backup master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,183997,,,barcode183997.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode183997/PreservationMaster/barcode183997.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,Repertoire Night,2500-01-01,,,,,,,,REPERTOIRE NIGHT,Backup master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144076,,,barcode144076.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144076/PreservationMaster/barcode144076.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,Repertoire Night,2500-01-01,,,,,,,,REPERTOIRE NIGHT,Backup master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144077,,,barcode144077.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144077.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,Repertoire Night,2500-01-01,,,,,,,,REPERTOIRE NIGHT,Backup master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144079,,,barcode144079.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144079.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3163 - 3164 - NOBLE/LUNA,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144085,,,barcode144085.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144085.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3165 - 3168 FRINGE,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144086,,,barcode144086.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144086.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3168 - 3169 - FRINGE,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144087,,,barcode144087.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144087.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,NOBLE/LUNA 3160 - 3162,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144088,,,barcode144088.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144088.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3026 - 3028 - STRINGS,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144089,,,barcode144089.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144089.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3034 - 3035 - JOHNNY WHITE,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144090,,,barcode144090.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144090.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,TINA WELCH 3041 - 3042,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144091,,,barcode144091.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144091.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,RIGHTEOUS JAZZ 3046 - 3048,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144092,,,barcode144092.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144092.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,COLUMBUS EAST 3051 - 3053,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144093,,,barcode144093.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144093/PreservationMaster/barcode144093.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Artist's Showcase,,Default Unit,,ARTIST'S SHOWCASE,2500-01-01,,,,,,,,ARTIST SHOWCASE 3061-3063,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144094,,,barcode144094.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144094/PreservationMaster/barcode144094.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,INDIGOES 3066 - 3068,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144095,,,barcode144095.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144095.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3148 - 3149 - LUNA CAVETT,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144110,,,barcode144110.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144110/PreservationMaster/barcode144110.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Masterpiece Theatre,,Default Unit,,Crime and Punishment (General Season Record),1980-10-19,,,,,,,,104,Backup master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144570,,,barcode144570.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144570.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"New Voice, The",,Default Unit,,"NEW VOICE, THE",2500-01-01,,,,,,,,GENERIC PROMOS,Promo,local,,general,,,,,,,,,,,,,,,,,video recording identifier,144575,,,barcode144575.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144575.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Victory Garden,,Default Unit,,Victory Garden 612,2500-01-01,,,,,,,,,Backup master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144577,,,barcode144577.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144577.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Unsorted Programs,,Default Unit,,(Untitled Program),2500-01-01,,,,,,,,ORIG.FOR FALL VIEWER SPOTS,Promo,local,,general,,,,,,,,,,,,,,,,,video recording identifier,144578,,,barcode144578.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144578.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,"Christmas At Pops, A (1981)",1905-06-03,,,,,,,,CHRISTMAS AT POPS 1981,Distribution dub,local,,general,,,,,,,,,,,,,,,,,video recording identifier,258161,,,,,,https://avalon.wgbh.org/hls/avalon/nothing/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Race To Save The Planet,,Default Unit,,"Waste Not, Want Not",2500-01-01,,,,,,,,"WASTE NOT, WANT NOT/ IT NEEDS POLITICAL DECISIONS",PBS backup,local,,general,,,,,,,,,,,"Environmental Science, Peoples of Southeast Asia, Peoples of Northern Europe, Politics and Government, Social Issues, Peoples of Southern Africa",,,,,,video recording identifier,90950,,,barcode90950.mov,,,https://avalon.wgbh.org/hls/avalon/22807/barcode90950/Preservation Master/barcode90950.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Road to Empowerment: A Political Case Study,1992-02-13,,,,,,,,,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,181664,,,barcode181664.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode181664.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,"Teens, Sex and AIDS: Frankly Speaking",1992-01-30,,,,,,,,,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,20588,,,barcode20588.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode20588.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Say Brother,,Default Unit,,Remembering Brother Malcolm,1992-11-26,,,,,,,,(with new open),Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,181677,,,barcode181677.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode181677.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
The Group,,Default Unit,,Genetic Engineering,1991-11-04,,,,,,,,11/4/91 Genetic Engineering,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,10986,,,barcode10986.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode10986/PreservationMaster/barcode10986.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
The Group,,Default Unit,,Repeat Offenders,1993-10-12,,,,,,,,10/12/93 Repeat Offenders,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,11536,,,barcode11536.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode11536/PreservationMaster/barcode11536.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
The Group,,Default Unit,,pope and morality,1993-10-11,,,,,,,,10/11/93 The Pope's Encyclical,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,11569,,,barcode11569.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode11569/PreservationMaster/barcode11569.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
The Group,,Default Unit,,Fall TV Season,1993-10-13,,,,,,,,10/13/93 The Fall TV Season,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,11570,,,barcode11570.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode11570/PreservationMaster/barcode11570.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,1982-12-06,,,,,,,,"Collection of briefs, VOT/SOTs, and stories on: 1) Boston Herald American unions and sale to Rupert Murdoch; newspapers in sidewalk vending box, plant exterior, comments from employees. Interview with Australian journalist Nigel Wade, Michael Wheeler, Stephen Mindich. 2) Hotel workers union fights for better wages and benefits, threatens strike, gets settlement. Cooks, maid, doorman at work. Studio interview with Local 26 president Domenic Bozzotto.",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,295315,,,barcode295315.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode295315.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,1989-03-21,,,,,,,,"1) Operation Rescue prepares for protest at St. Agatha's Church in Milton. Mildred Jefferson, Bill Baird. Pro-choice march outside church. 2) Cocaine abuse among white collar people. 3) Aflatoxin - liver carcinogen produced by fungus on drought-affected corn. 4) Interview with Rep. Frank Hynes and Sen. Michael Barrett on legislators earning outside income. 5) Felicia Lamport verse on John Tower's dilemma. Anchors Lydon and Fields.

 Length: 27.38",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,249383,,,barcode249383.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode249383/PreservationMaster/barcode249383.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,1976-01-01,,,,,,,,"Failed GOP 1988 presidential candidates - Jack Kemp, two spots ""Oil Prices"" and ""Block the Cut"" by Campaign Consultants, Inc.",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,200927,,,barcode200927.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode200927/PreservationMaster/barcode200927.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,Peggy Lee,2500-01-01,,,,,,,,D,Original recording,local,,general,,,,,,,,,,,,,,,,,video recording identifier,230095,,,,,,https://avalon.wgbh.org/hls/avalon/nothing/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,Manhattan Transfer,2500-01-01,,,,,,,,"Orchestral performance of movie music. Songs performed include ""There's No Business Like Show Business,"" ""When You Wish Upon A Star,"" ""Moon River,"" and ""Somewhere Over The Rainbow.""",Original recording,local,Performance for a Live Audience,general,,,,,Performance for a Live Audience,,,,,,"Music, Performing Arts",,,,,,video recording identifier,231648,,,barcode231648_01.wav,,,https://avalon.wgbh.org/hls/avalon/barcode231648_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,Manhattan Transfer,2500-01-01,,,,,,,,TV #2 BACKUP RL #2,Original recording,local,Recorded Music,general,,,,,Recorded Music,,,,,,,,,,,,video recording identifier,231653,,,barcode231653_01.wav,,,https://avalon.wgbh.org/hls/avalon/barcode231653_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,Manhattan Transfer,2500-01-01,,,,,,,,TV 2 LINE RL 1 -FESTIVE OV,Original recording,local,Recorded Music,general,,,,,Recorded Music,,,,,,Music,,,,,,video recording identifier,231654,,,barcode231654_01_a.wav,,,https://avalon.wgbh.org/hls/avalon/barcode231654_01_a.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Evening At Pops,,Default Unit,,"Peter, Paul And Mary",2500-01-01,,,,,,,,D,Original recording,local,,general,,,,,,,,,,,,,,,,,video recording identifier,231806,,,barcode231806_01_a.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode231806/PreservationMaster/barcode231806_01_a.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
FRONTLINE,,Default Unit,,Behind the Mask: The IRA and Sinn Fein,1997-10-21,,,,,,,,IRA - replacement section - 2:16:40,Audio Master (full mix),local,,general,,,,,,,,,,,,,,,,,video recording identifier,167706,,,barcode167706_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode167706/PreservationMaster/barcode167706_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,Shark Attack! (Sharks),1996-11-19,,,,,,,,,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,181822,,,barcode181822.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode181822.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,Titanic's Lost Sister (Britannic),1997-01-28,,,,,,,,,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,181821,,,barcode181821.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode181821.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"World, The",,Default Unit,,"World, The (General Series)",1998-06-05,,,,,,,,"6/5/1998
 3 PM AIRTIME",Radio program (Master),local,,general,,,,,,,,,,,,,,,,,video recording identifier,174430,,,barcode174430_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode174430/PreservationMaster/barcode174430_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2500-01-01,,,,,,,,"Audio reel from early French Chef program. Contains eight minute cooking segment and two “same endings”. Material undated. Transfer of material made 8/1/ 98, Transfer #2.",Audio dub,local,,general,,,,,,,,,,,,,,,,,video recording identifier,157979,,,barcode157979_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157979/PreservationMaster/barcode157979_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2500-01-01,,,,,,,,"Music reel from French Chef program. “Original B & W Theme I”. Material undated. Transfer of material made 8/1/ 98, Transfer #3.",Music,local,,general,,,,,,,,,,,,,,,,,video recording identifier,110788,,,barcode110788_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode110788/PreservationMaster/barcode110788_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2500-01-01,,,,,,,,"Music reel from French Chef program. “Original B & W 1st Theme ”, “Ruth’s Copy”. Material undated. Transfer of material made 8/1/ 98, Transfer #4.",Music,local,,general,,,,,,,,,,,,,,,,,video recording identifier,134146,,,barcode134146_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode134146/PreservationMaster/barcode134146_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),1961-10-14,,,,,,,,"Donald Quayle: “Statement immediately after sign-on”. 10/14/1961. Transfer of material made 8/1/ 98, Transfer #5.",Audio dub,local,,general,,,,,,,,,,,,,,,,,video recording identifier,157986,,,barcode157986_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157986/PreservationMaster/barcode157986_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),2500-01-01,,,,,,,,"“Old FM Promo Carts/’GBH.” Original material undated. Transfer of material made 8/1/ 98, Transfer #6.",Audio dub,local,,general,,,,,,,,,,,,,,,,,video recording identifier,157989,,,barcode157989_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157989/PreservationMaster/barcode157989_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),1967-02-03,,,,,,,,"“ Lowell Institute 20th Anniversary.” Ivor A. Richards reads from Plato’s Republic recreating first Lowell Institute broadcast of 2/3/1947. Original material dated 2/3/1967. Transfer of material made 8/1/ 98, Transfer #7.",Audio dub,local,,general,,,,,,,,,,,,,,,,,video recording identifier,157992,,,barcode157992_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157992/PreservationMaster/barcode157992_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
WGBH Archives Historical Collection,,Default Unit,,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),1963-04-26,,,,,,,,"Fundraising Dinner /Program-4/26/1963. “Voices: T. F. Conley, BC, Lyons, Leverett Saltonstall, Pres. Kennedy on Cuba Crisis, Dean Rusk, Adlai Stevenson (?) of Security Council, G. Wllace Woodworth, JFK at BU convocation, Robert Frost, Fund Pitch. WWP at BSO.” Transfer of material made 8/1/ 98, Transfer #8.",Audio dub,local,,general,,,,,,,,,,,,,,,,,video recording identifier,157995,,,barcode157995_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode157995/PreservationMaster/barcode157995_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
