Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Publisher,Note,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2020-01-31,,,,,,,,"“French Chef Theme Audition Copy-Not for air.  Piano only version of French Chef theme with other interesting auditions.”  Transfer of material made 8/2/ 98, Transfer #11.",Music,local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion, Audio Hum",general,,,,,,,,,,,,Recorded Music,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,134145,,,barcode134145_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode134145/PreservationMaster/barcode134145_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2020-02-07,,,,,,,,"Music reel from  French Chef program.  “Original B & W  1st Theme ”, “Ruth’s Copy”.   Material undated.   Transfer of material made 8/1/ 98, Transfer #4.",Music,local,,general,"2/7/2020 SB: Distortion at 15 seconds could not be removed even after multiple transfer attempts., Audio Pops and/or Clicks, Audio Hiss, Audio Distortion, Print Through",general,,,,,,,,,,,,Recorded Music,,,,,,,,,,,,,,,,,,,,,video recording identifier,134146,,,barcode134146_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode134146/PreservationMaster/barcode134146_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Boston Symphony Orchestra,,Default Unit,,Leinsdorf Conducting: Beethoven; Webern,2020-02-10,,,,,,1969-02-25,,"Leinsdorf -  Beethoven: Symphony No. 3 (46:48).  Reel 2 of 2. Performed by the Boston Symphony Orchestra, conducted by Erich Leinsdorf, soloist Eugene Istomin. ",Green Label Master (WGBH program),local,,general,"1/24/2020 JGi: Overexposed footage contains breakup. , Audio Hiss, Video Noise",general,,,,,,,,,,,,Performance for a Live Audience,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,136796,,,barcode136796.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode136796/PreservationMaster/barcode136796.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Masterpiece/Classic,,Default Unit,,Vienna 1900,2020-02-10,,,,,,1974-08-12,,"Episode of Masterpiece Theater, based on a work by Arthur Schnitzler, called A Man of Honor, starring Robert Stephens, Norman Eshley, Cheryl Murray, Vanessa Miles, Bruce Purchase, Robin Bailey, Jeremy Clyde, Manning Wilson, Una Brandon-Jones, George Howe, Neville Phillips, The Baker Twins, Peter Bamber, with Introduction and Commentary by Alistair Cooke. Concluded with a performance of Johann Strauss Jr's ""Spirit of Vienna."" Featuring Joseph SIlverstein on Violin, Jerome Rosen on Violin, Burton Fine on Viola, Jules Eskin on Cello, and Henry Portnoi on Bass, ",Green Label Master (WGBH program),local,,general,"1/28/2020 JGi: Slight banding through the bars. Film artifacts through some footage., Audio Hiss",general,,,,,,,,,,,,Drama,,,,,,Film and Television,,,,,,,,,,,,,,,video recording identifier,137155,,,barcode137155.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode137155/PreservationMaster/barcode137155.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Masterpiece/Classic,,Default Unit,,"Vienna 1900, Episode 5 (Gift of Life)",2020-02-10,,,,,,1974-08-13,,"Episode five of Masterpiece Theater's ""Vienna 1900 - Games of Love and Death,"" titled ""Gift of Life,"" based on Arthur Schnitzler's ""Games with Love and Death"", starring Robert Stephens, Christopher Gable, and Maureen O'Brien, with commentary by Alistair Cooke. Concludes with a string quartet performance of Joseph Strauss' ""My Life Is Love And Pleasure."" ",Green Label Master (WGBH program),local,,general,"1/29/2020 JGi: Some footage overexposed, adjusted video levels to compensate. , Audio Hiss, Video Noise",general,,,,,,,,,,,,Drama,,,,,,Film and Television,,,,,,,,,,,,,,,video recording identifier,137157,,,barcode137157.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode137157/PreservationMaster/barcode137157.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Crockett's Victory Garden,,Default Unit,,Victory Garden 261,2020-02-10,,,,,,1978-05-30,,261House dubEpisode of Victory Garden show about planting vegetables. Fruit and herbs primarily,Backup master (WGBH program),local,,general,"1/29/2020 JGi: Dropouts and flashing through the bars. , Audio Hiss, Video Picture Breaks up, Analog Video Dropouts",general,,,,,,,,,,,,Educational,,,,,,Film and Television,Gardening,,,,,,,,,,,,,,video recording identifier,137873,,,barcode137873.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode137873/PreservationMaster/barcode137873.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Evening At Pops,,Default Unit,,Repertoire Night,2020-02-11,,,,,,1983-05-20,,REPERTOIRE NIGHTConcert Performance by Boston Pops,Backup master (WGBH program),local,,general,"2/4/2020 EMu: Bars at top have a separate TC than content, not included to preserve proper TC.  , Audio Low Levels, Audio Hiss",general,,,,,,,,,,,,Performance for a Live Audience,,,,,,Music,,,,,,,,,,,,,,,video recording identifier,144076,,,barcode144076.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144076/PreservationMaster/barcode144076.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
"Club, The",,Default Unit,,THE CLUB,2020-02-10,,,,,,1978-12-07,,"COLUMBUS EAST 3051 - 30533 Epiosdes of current affairs talk show called The Club, featuring musical acts in a restaurant setting. Featuring Hosts Charlie Stewart and Anne Randelbaum. Featuring Bernie Dresner, band called Columbus East, Professor Steven A Grazer, Frank Bakey, the band Ray Santesi's Jazz Trio, Mal McDougal, Sam Miller, Laurie Devine, Beatrice Edmonds,  Jean Kilbourne, Eileen O'Leary, and Lt, Al Sweeney",Green Label Master (WGBH program),local,,general,"2/12/2020 GM: Mild breakup on bottom of frame due to tracking. Long black tail.  , OK",general,,,,,,,,,,,,Talk Show,,,,,,Music,Film and Television,Social Issues,,,,,,,,,,,,,video recording identifier,144093,,,barcode144093.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144093/PreservationMaster/barcode144093.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Artist's Showcase,,Default Unit,,ARTIST'S SHOWCASE,2020-02-10,,,,,,1978-12-21,,"ARTIST SHOWCASE 3061-30633 Episodes of The Club, Topical Talk Show featuring musical acts in live dining setting. Featuring musical act Guy Rotondo's Artist's Showcase",Green Label Master (WGBH program),local,N,general,"2/12/2020 GM: Audio from content over bars and tone at top.  , OK",general,,,,,,,,,,,,Talk Show,,,,,,music,film and television,,,,,,,,,,,,,,video recording identifier,144094,,,barcode144094.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144094/PreservationMaster/barcode144094.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
"Club, The",,Default Unit,,THE CLUB,2020-02-10,,,,,,1979-05-10,,"#3148 - 3149 - LUNA CAVETT2 episodes of The Club, featuring Dick Cavett as guest. ",Green Label Master (WGBH program),local,N,general," , Video Noise, Audio Buzz",general,,,,,,,,,,,,Talk Show,,,,,,Film and Television,Music,,,,,,,,,,,,,,video recording identifier,144110,,,barcode144110.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144110/PreservationMaster/barcode144110.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,2020-02-07,,,,,,1979-09-01,,"Reel 16 of 67Program exploring the work of Alexandre Dumas's 3 Musketeers, reading from the book",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,149240,,,barcode149240_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode149240/PreservationMaster/barcode149240_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,2020-02-07,,,,,,1979-09-01,,"Reel 17 of 67Program exploring the work of Alexandre Dumas's 3 Musketeers, reading from the book",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,149241,,,barcode149241_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode149241/PreservationMaster/barcode149241_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Science Journal,,Default Unit,,(Untitled Program),2020-02-07,,,,,,,,"Science Journal: Pilot 89-897-022-001Program on worsening tropical storms, and further research on harmful effects of smoking",Radio program (Master),local,,general,"2/5/2020 JF: Test tone in the left channel jumps in volume. , Audio Pops and/or Clicks, Audio Hiss",general,,,,,,,,,,,,News Report,,,,,,Environmental Science,Medicine,Science,,,,,,,,,,,,,video recording identifier,150542,,,barcode150542_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode150542/PreservationMaster/barcode150542_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,Sylvia Plath,2020-02-07,,,,,,,,"77-5000-00-00-001     Sylvia Plath   7""Reading of Sylvia Plath Poetry",Radio program (Master),local,,general,"2/6/2020 JF: High frequency fluctuations are inherent to the reel. , Audio Hiss, Audio Pops and/or Clicks, Audio Hum, Audio Distortion",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155545,,,barcode155545_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155545/PreservationMaster/barcode155545_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Spider's Web,,Default Unit,,E.B. White: Charlotte's Web,2020-02-07,,,,,,1977-12-01,,"77-0124-00-26-002     Spider's Web   Charlotte's Web #2   12/1977   Master      7""  reel 2 of 9reading of the novel Charlotte's Web",Radio program (Master),local,,general,"Audio Hiss, Audio Distortion",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155550,,,barcode155550_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155550/PreservationMaster/barcode155550_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,Herman Melville,2020-02-07,,,,,,,,"77-3047-00-00-001     Herman Melville   7"" Tim Sheldonreading of Herman Melville's Bulls bluff ",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155551,,,barcode155551_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155551/PreservationMaster/barcode155551_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,Sam Allen,2020-02-07,,,,,,,,"77-3029-00-00-001     Sam Allen   7""Reading of poetry by Sam Allen",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Beginning Cut Off",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155561,,,barcode155561_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155561/PreservationMaster/barcode155561_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Standalone Programs,,Default Unit,,Sylvia Plath,2020-02-07,,,,,,,,"77-3049-00-00-001     Sylvia Plath   7""Reading of Sylvia Plath Poetry",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Print Through, Audio Hum",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155563,,,barcode155563_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155563/PreservationMaster/barcode155563_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,2020-02-07,,,,,,1979-09-01,,"Reel 5 of 67program of reading aloud, reading of Alexandre Dumas Three Musketeers",Radio program (Master),local,,general,"Audio Hiss, Print Through, Audio Distortion, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,literature,,,,,,,,,,,,,,,video recording identifier,155729,,,barcode155729_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155729/PreservationMaster/barcode155729_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,2020-02-07,,,,,,1979-07-24,,"Reel 6 of 67program of reading aloud, reading of Alexandre Dumas Three Musketeers",Radio program (Master),local,,general,"Audio Hum, Audio Hiss, Audio Distortion, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,literature,,,,,,,,,,,,,,,video recording identifier,155731,,,barcode155731_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155731/PreservationMaster/barcode155731_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,2020-02-07,,,,,,1979-09-01,,"Reel 7 of 67program of reading aloud, reading of Alexandre Dumas Three Musketeers",Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155732,,,barcode155732_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155732/PreservationMaster/barcode155732_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,2020-02-07,,,,,,1979-09-01,,"Reel 8 of 67program of reading aloud, reading of Alexandre Dumas Three Musketeers",Radio program (Master),local,,general,"Audio Hiss, Print Through, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Radio Theater,,,,,,literature,,,,,,,,,,,,,,,video recording identifier,155733,,,barcode155733_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155733/PreservationMaster/barcode155733_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,2020-02-07,,,,,,1979-07-25,,"Reel 9 of 67program of reading aloud, reading of Alexandre Dumas Three Musketeers",Radio program (Master),local,,general,"Print Through, Audio Pops and/or Clicks, Audio Hiss, Audio Distortion",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155734,,,barcode155734_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155734/PreservationMaster/barcode155734_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Stevenson : Master of Ballantine,2020-02-07,,,,,,1979-04-09,,13BReading of Master of the Ballantrae by Robert Louis Stevenson,Radio program (Master),local,,general,"Audio Hiss, Print Through, Audio Pops and/or Clicks, Audio Hum",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155735,,,barcode155735_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155735/PreservationMaster/barcode155735_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Dumas: The Three Musketeers,2020-02-07,,,,,,1979-07-23,,"Reel 3 of 67program of reading aloud, reading of Alexandre Dumas Three Musketeers",Radio program (Master),local,,general,"Audio Hiss, Audio Hum, Print Through, Audio Distortion, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155799,,,barcode155799_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155799/PreservationMaster/barcode155799_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Stevenson : Mystery of Edwindrood,2020-02-07,,,,,,1979-02-12,,Episode of Reading Aloud covering Charles Dickens' Mystery of Edwindrood,Radio program (Master),local,,general,"Audio Hiss, Audio Pops and/or Clicks, Audio Distortion, Print Through",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155882,,,barcode155882_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155882/PreservationMaster/barcode155882_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Stevenson : Mystery of Edwindrood,2020-02-07,,,,,,1979-01-17,,Episode of Reading Aloud covering Charles Dickens' Mystery of Edwindrood,Radio program (Master),local,,general,"Audio Distortion, Audio Hiss, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155886,,,barcode155886_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155886/PreservationMaster/barcode155886_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
Reading Aloud,,Default Unit,,Stevenson : Mystery of Edwindrood,2020-02-07,,,,,,1979-01-18,,Episode of Reading Aloud covering Charles Dickens' Mystery of Edwindrood,Radio program (Master),local,,general,"2/7/2020 SB: High frequencies fluctuate slightly at the end., Audio Hiss, Print Through, Audio Pops and/or Clicks",general,,,,,,,,,,,,Radio Theater,,,,,,Literature,,,,,,,,,,,,,,,video recording identifier,155889,,,barcode155889_01.wav,,,https://avalon.wgbh.org/hls/avalon/23065/barcode155889/PreservationMaster/barcode155889_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
