Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,Label,Offset,Skip Transcoding,Absolute Location
Evening At Pops,,,video recording identifier,144077,Repertoire Night,,,,,,9999-01-01,REPERTOIRE NIGHT,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144077.mkv,,,yes,nothing
Evening At Pops,,,video recording identifier,144079,Repertoire Night,,,,,,9999-01-01,REPERTOIRE NIGHT,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144079.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144085,THE CLUB,,,,,,9999-01-01,#3163 - 3164 - NOBLE/LUNA,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144085.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144086,THE CLUB,,,,,,9999-01-01,#3165 - 3168 FRINGE,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144086.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144087,THE CLUB,,,,,,9999-01-01,#3168 - 3169 - FRINGE,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144087.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144088,THE CLUB,,,,,,9999-01-01,NOBLE/LUNA 3160 - 3162,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144088.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144089,THE CLUB,,,,,,9999-01-01,#3026 - 3028 - STRINGS,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144089.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144090,THE CLUB,,,,,,9999-01-01,#3034 - 3035 - JOHNNY WHITE,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144090.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144091,THE CLUB,,,,,,9999-01-01,TINA WELCH 3041 - 3042,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144091.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144092,THE CLUB,,,,,,9999-01-01,RIGHTEOUS JAZZ 3046 - 3048,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144092.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144093,THE CLUB,,,,,,9999-01-01,COLUMBUS EAST 3051 - 3053,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144093.mkv,,,yes,nothing
Artist's Showcase,,,video recording identifier,144094,ARTIST'S SHOWCASE,,,,,,9999-01-01,ARTIST SHOWCASE 3061-3063,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144094.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144095,THE CLUB,,,,,,9999-01-01,INDIGOES 3066 - 3068,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144095.mkv,,,yes,nothing
"Club, The",,,video recording identifier,144110,THE CLUB,,,,,,9999-01-01,#3148 - 3149 - LUNA CAVETT,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144110.mkv,,,yes,nothing
Masterpiece Theatre,,,video recording identifier,144570,Crime and Punishment (General Season Record),,,,,,1980-10-19,104,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144570.mkv,,,yes,nothing
"New Voice, The",,,video recording identifier,144575,"NEW VOICE, THE",,,,,,9999-01-01,GENERIC PROMOS,,,,,,,,,,local,Promo,general,,,,barcode144575.mkv,,,yes,nothing
Victory Garden,,,video recording identifier,144577,Victory Garden 612,,,,,,9999-01-01,,,,,,,,,,,local,Backup master (WGBH program),general,,,,barcode144577.mkv,,,yes,nothing
,,,video recording identifier,144578,,,,,,,9999-01-01,ORIG.FOR FALL VIEWER SPOTS,,,,,,,,,,local,Promo,general,,,,barcode144578.mkv,,,yes,nothing
Evening At Pops,,,video recording identifier,258161,"Christmas At Pops, A (1981)",,,,,,1905-06-03,CHRISTMAS AT POPS 1981,,,,,,,,,,local,Distribution dub,general,,,,,,,yes,nothing
Race To Save The Planet,,,video recording identifier,90950,"Waste Not, Want Not",,,,,,9999-01-01,"WASTE NOT, WANT NOT/ IT NEEDS POLITICAL DECISIONS",,,,,"Environmental Science, Peoples of Southeast Asia, Peoples of Northern Europe, Politics and Government, Social Issues, Peoples of Southern Africa",,,,,local,PBS backup,general,,,,barcode90950.mov,,,yes,nothing
Say Brother,,,video recording identifier,181664,Road to Empowerment: A Political Case Study,,,,,,1992-02-13,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode181664.mkv,,,yes,nothing
Say Brother,,,video recording identifier,20588,"Teens, Sex and AIDS: Frankly Speaking",,,,,,1992-01-30,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode20588.mkv,,,yes,nothing
Say Brother,,,video recording identifier,181677,Remembering Brother Malcolm,,,,,,1992-11-26,(with new open),,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode181677.mkv,,,yes,nothing
The Group,,,video recording identifier,10986,Genetic Engineering,,,,,,1991-11-04,11/4/91 Genetic Engineering,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode10986.mkv,,,yes,nothing
The Group,,,video recording identifier,11536,Repeat Offenders,,,,,,1993-10-12,10/12/93 Repeat Offenders,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode11536.mkv,,,yes,nothing
The Group,,,video recording identifier,11569,pope and morality,,,,,,1993-10-11,10/11/93 The Pope's Encyclical,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode11569.mkv,,,yes,nothing
The Group,,,video recording identifier,11570,Fall TV Season,,,,,,1993-10-13,10/13/93 The Fall TV Season,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode11570.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,295315,Ten O'Clock News,,,,,,1982-12-06,"Collection of briefs, VOT/SOTs, and stories on: 1) Boston Herald American unions and sale to Rupert Murdoch; newspapers in sidewalk vending box, plant exterior, comments from employees. Interview with Australian journalist Nigel Wade, Michael Wheeler, Stephen Mindich. 2) Hotel workers union fights for better wages and benefits, threatens strike, gets settlement. Cooks, maid, doorman at work. Studio interview with Local 26 president Domenic Bozzotto.",,,,,,,,,,local,News Tape,general,,,,barcode295315.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,249383,Ten O'Clock News,,,,,,1989-03-21,"1) Operation Rescue prepares for protest at St. Agatha's Church in Milton. Mildred Jefferson, Bill Baird. Pro-choice march outside church. 2) Cocaine abuse among white collar people. 3) Aflatoxin - liver carcinogen produced by fungus on drought-affected corn. 4) Interview with Rep. Frank Hynes and Sen. Michael Barrett on legislators earning outside income. 5) Felicia Lamport verse on John Tower's dilemma. Anchors Lydon and Fields.
 
 Length: 27.38",,,,,,,,,,local,News Tape,general,,,,barcode249383.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,200927,Ten O'Clock News,,,,,,1976-01-01,"Failed GOP 1988 presidential candidates - Jack Kemp, two spots ""Oil Prices"" and ""Block the Cut"" by Campaign Consultants, Inc.",,,,,,,,,,local,News Tape,general,,,,barcode200927.mkv,,,yes,nothing
Evening At Pops,,,video recording identifier,230095,Peggy Lee,,,,,,9999-01-01,D,,,,,,,,,,local,Original recording,general,,,,,,,yes,nothing
Evening At Pops,,,video recording identifier,231648,Manhattan Transfer,,,Performance for a Live Audience,,,9999-01-01,"Orchestral performance of movie music. Songs performed include ""There's No Business Like Show Business,"" ""When You Wish Upon A Star,"" ""Moon River,"" and ""Somewhere Over The Rainbow.""",,,,,"Music, Performing Arts",,,,,local,Original recording,general,Performance for a Live Audience,,,barcode231648_01.wav,,,yes,nothing
Evening At Pops,,,video recording identifier,231653,Manhattan Transfer,,,Recorded Music,,,9999-01-01,TV #2 BACKUP RL #2,,,,,,,,,,local,Original recording,general,Recorded Music,,,barcode231653_01.wav,,,yes,nothing
Evening At Pops,,,video recording identifier,231654,Manhattan Transfer,,,Recorded Music,,,9999-01-01,TV 2 LINE RL 1 -FESTIVE OV,,,,,Music,,,,,local,Original recording,general,Recorded Music,,,barcode231654_01_a.wav,,,yes,nothing
Evening At Pops,,,video recording identifier,231806,"Peter, Paul And Mary",,,,,,9999-01-01,D,,,,,,,,,,local,Original recording,general,,,,barcode231806_01_a.wav,,,yes,nothing
FRONTLINE,,,video recording identifier,167706,Behind the Mask: The IRA and Sinn Fein,,,,,,1997-10-21,IRA - replacement section - 2:16:40,,,,,,,,,,local,Audio Master (full mix),general,,,,barcode167706_01.wav,,,yes,nothing
NOVA,,,video recording identifier,181822,Shark Attack! (Sharks),,,,,,1996-11-19,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode181822.mkv,,,yes,nothing
NOVA,,,video recording identifier,181821,Titanic's Lost Sister (Britannic),,,,,,1997-01-28,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode181821.mkv,,,yes,nothing
"World, The",,,video recording identifier,174430,"World, The (General Series)",,,,,,1998-06-05,"6/5/1998
 3 PM AIRTIME",,,,,,,,,,local,Radio program (Master),general,,,,barcode174430_01.wav,,,yes,nothing
"French Chef, The",,,video recording identifier,157979,THE FRENCH CHEF,,,,,,9999-01-01,"Audio reel from early French Chef program. Contains eight minute cooking segment and two “same endings”. Material undated. Transfer of material made 8/1/ 98, Transfer #2.",,,,,,,,,,local,Audio dub,general,,,,barcode157979_01.wav,,,yes,nothing
"French Chef, The",,,video recording identifier,110788,THE FRENCH CHEF,,,,,,9999-01-01,"Music reel from French Chef program. “Original B & W Theme I”. Material undated. Transfer of material made 8/1/ 98, Transfer #3.",,,,,,,,,,local,Music,general,,,,barcode110788_01.wav,,,yes,nothing
"French Chef, The",,,video recording identifier,134146,THE FRENCH CHEF,,,,,,9999-01-01,"Music reel from French Chef program. “Original B & W 1st Theme ”, “Ruth’s Copy”. Material undated. Transfer of material made 8/1/ 98, Transfer #4.",,,,,,,,,,local,Music,general,,,,barcode134146_01.wav,,,yes,nothing
WGBH Archives Historical Collection,,,video recording identifier,157986,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,1961-10-14,"Donald Quayle: “Statement immediately after sign-on”. 10/14/1961. Transfer of material made 8/1/ 98, Transfer #5.",,,,,,,,,,local,Audio dub,general,,,,barcode157986_01.wav,,,yes,nothing
WGBH Archives Historical Collection,,,video recording identifier,157989,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,9999-01-01,"“Old FM Promo Carts/’GBH.” Original material undated. Transfer of material made 8/1/ 98, Transfer #6.",,,,,,,,,,local,Audio dub,general,,,,barcode157989_01.wav,,,yes,nothing
WGBH Archives Historical Collection,,,video recording identifier,157992,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,1967-02-03,"“ Lowell Institute 20th Anniversary.” Ivor A. Richards reads from Plato’s Republic recreating first Lowell Institute broadcast of 2/3/1947. Original material dated 2/3/1967. Transfer of material made 8/1/ 98, Transfer #7.",,,,,,,,,,local,Audio dub,general,,,,barcode157992_01.wav,,,yes,nothing
WGBH Archives Historical Collection,,,video recording identifier,157995,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,1963-04-26,"Fundraising Dinner /Program-4/26/1963. “Voices: T. F. Conley, BC, Lyons, Leverett Saltonstall, Pres. Kennedy on Cuba Crisis, Dean Rusk, Adlai Stevenson (?) of Security Council, G. Wllace Woodworth, JFK at BU convocation, Robert Frost, Fund Pitch. WWP at BSO.” Transfer of material made 8/1/ 98, Transfer #8.",,,,,,,,,,local,Audio dub,general,,,,barcode157995_01.wav,,,yes,nothing
"French Chef, The",,,video recording identifier,134145,THE FRENCH CHEF,,,,,,9999-01-01,"“French Chef Theme Audition Copy-Not for air. Piano only version of French Chef theme with other interesting auditions.” Transfer of material made 8/2/ 98, Transfer #11.",,,,,,,,,,local,Music,general,,,,barcode134145_01.wav,,,yes,nothing
WGBH Archives Historical Collection,,,video recording identifier,158007,WGBH ARCHIVES HISTORICAL COLLECTION (GENERAL),,,,,,1905-05-14,"“Station History (announce tape from fire week).” Original material taped 10/1961, dubbed 1/1980. Transfer of material made 8/2/ 98, Transfer #12.",,,,,,,,,,local,Audio dub,general,,,,barcode158007_01.wav,,,yes,nothing
"Note To You, A",,,video recording identifier,37938,"Appassionata Sonata, The",,,,,,1998-02-08,"9701
 Note: DAT cassette is contained in “5 inch reel” box",,,,,,,,,,local,Radio program (Master),general,,,,barcode37938_01.wav,,,yes,nothing
"Note To You, A",,,video recording identifier,37939,"Music Shelf, The",,,,,,9999-01-01,"9702
 Note: DAT cassette is contained in “5 inch reel” box",,,,,,,,,,local,Radio program (Master),general,,,,barcode37939_01.wav,,,yes,nothing
"Note To You, A",,,video recording identifier,37940,Great Program Music: Romeo And Juliet,,,,,,1996-12-21,"9703
 Note: DAT cassette is contained in “5 inch reel” box",,,,,,,,,,local,Radio program (Master),general,,,,barcode37940_01.wav,,,yes,nothing
"Note To You, A",,,video recording identifier,37941,Mozart Sings,,,,,,1996-12-11,"9704
 Note: DAT cassette is contained in “5 inch reel” box",,,,,,,,,,local,Radio program (Master),general,,,,barcode37941_01.wav,,,yes,nothing
,,,video recording identifier,285460,,,,,,,,24 track master,,,,,,,,,,local,Audio Master (full mix),general,,,,barcode285460_01.wav,,,yes,nothing
,,,video recording identifier,183415,Introduction To Owen Wingrave,,,,,,1905-05-24,"Container Notes: Issue 22-71; John Amis; background hiss. may be broadcast twice prior to 9.30.1971 and not thereafter, pls. return tape. Use as is or in conjunction with Opera Owen Wingrave",,,,,,,,,,local,Radio program (Master),general,,,,barcode183415_01.wav,,,yes,nothing
Et Cetera,,,video recording identifier,183414,Bringing It All Back Home,,,,,,9999-01-01,"Fred Barzyk, documentary about Bob Dylan's move from acoustic to electric - Bringing it All Back Home",,,,,,,,,,local,Radio program (Master),general,,,,barcode183414_01.wav,,,yes,nothing
,,,video recording identifier,183413,La Boheme,,,,,,9999-01-01,"Reel 2 of 5, MONO",,,,,,,,,,local,Original recording,general,,,,barcode183413_01.wav,,,yes,nothing
,,,video recording identifier,183412,La Boheme,,,,,,9999-01-01,Reel 3 of 5; Story of 3rd act of La Boheme; Nicholas Kasindis as Marcello; Elizabeth Feeney as Mimi; Rene Rencourt as Rudolph; Julia Shelley as Musette. MONO,,,,,,,,,,local,Original recording,general,,,,barcode183412_01.wav,,,yes,nothing
,,,video recording identifier,183411,La Boheme,,,,,,9999-01-01,"Reel 4 of 5, MONO",,,,,,,,,,local,Original recording,general,,,,barcode183411_01.wav,,,yes,nothing
,,,video recording identifier,183410,Tribute To Malvina Reynolds,,,,,,9999-01-01,songwriter,,,,,,,,,,local,Radio program (Master),general,,,,barcode183410_01.wav,,,yes,nothing
,,,video recording identifier,183409,Adlai Stevenson: Us Vietnam Policy,,,,,,9999-01-01,Indian Press review; correspondence included; 1. Reaction to U.S. actions in Santo Domingo; 2. Israeli-Arab relations discussed; 3. 20th anniversary of the fall of Nazi Germany; 4. Brief press editorials,,,,,,,,,,local,Audio dub,general,,,,barcode183409_01.wav,,,yes,nothing
La Plaza,,,video recording identifier,192878,Who's Cleaning Boston,,,,,,1990-01-06,• LA PLAZA - WHO'S CLEANING BOSTON #15,,,,,,,,,,local,Original footage,general,,,,barcode192878.mkv,,,yes,nothing
La Plaza,,,video recording identifier,192879,Who's Cleaning Boston,,,,,,1990-01-06,LA PLAZA - WHO'S CLEANING BOSTON #16,,,,,,,,,,local,Original footage,general,,,,barcode192879.mkv,,,yes,nothing
Science Journal,,,video recording identifier,150542,,,,,,,9999-01-01,Science Journal: Pilot 89-897-022-001,,,,,,,,,,local,Radio program (Master),general,,,,barcode150542_01.wav,,,yes,nothing
WGBH Journal,,,video recording identifier,229165,WGBH JOURNAL,,,Magazine,,,9999-01-01,Host Greg Fitzgerald; Amy Sands reports on women in Boston's black community learning how to defend themselves with firearms; Henrietta Davis visits project SCALE that fights adult illiteracy; David Freudberg learns about the MBTA (Part 4 of a series on the T); Shelly Roth speaks to an environmental lobbyist who fights for non-smokers' rights.,,,,,"Women and Women's History, Education, Local Communities, Transportation and Public Works, News and Current Events, US Ethnic Minorities, Medicine",,,,,local,Radio program (Master),general,Magazine,,,barcode229165_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,155882,Stevenson : Mystery of Edwindrood,,,,,,1979-01-31,,,,,,,,,,,local,Radio program (Master),general,,,,barcode155882_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,155886,Stevenson : Mystery of Edwindrood,,,,,,1979-01-31,,,,,,,,,,,local,Radio program (Master),general,,,,barcode155886_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,155889,Stevenson : Mystery of Edwindrood,,,,,,1979-01-31,,,,,,,,,,,local,Radio program (Master),general,,,,barcode155889_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,155891,Stevenson : Mystery of Edwindrood,,,,,,1979-01-31,,,,,,,,,,,local,Radio program (Master),general,,,,barcode155891_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,149240,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 16 of 67,,,,,,,,,,local,Radio program (Master),general,,,,barcode149240_01.wav,,,yes,nothing
Reading Aloud,,,video recording identifier,149241,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 17 of 67,,,,,,,,,,local,Radio program (Master),general,,,,barcode149241_01.wav,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194117,Ten O'Clock News,,,,,,9999-01-01,Field Tape: JIMMY CARTER IN FLORIDA,,,,,,,,,,local,News Tape,general,,,,barcode194117.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194118,Ten O'Clock News,,,,,,9999-01-01,field tape: JIMMY CARTER AFTER DEBATE,,,,,,,,,,local,News Tape,general,,,,barcode194118.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194119,Ten O'Clock News,,,,,,9999-01-01,Field Tape: JIMMY CARTER IN SOUTH,,,,,,,,,,local,News Tape,general,,,,barcode194119.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194120,Ten O'Clock News,,,,,,9999-01-01,Field Tape: COLUMBUS DAY PARADE,,,,,,,,,,local,News Tape,general,,,,barcode194120.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194121,Ten O'Clock News,,,,,,9999-01-01,Field Tape: JIMMY CARTER PLAINS,,,,,,,,,,local,News Tape,general,,,,barcode194121.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194122,Ten O'Clock News,,,,,,9999-01-01,Field Tape: JIMMY CARTER IN CALIFORNIA,,,,,,,,,,local,News Tape,general,,,,barcode194122.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194123,Ten O'Clock News,,,,,,9999-01-01,Field Tape: JIMMY CARTER GARMENT WORKERS,,,,,,,,,,local,News Tape,general,,,,barcode194123.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194124,Ten O'Clock News,,,,,,9999-01-01,Field Tape: JIMMY CARTER IN MISSOURI,,,,,,,,,,local,News Tape,general,,,,barcode194124.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194139,Ten O'Clock News,,,,,,9999-01-01,field tape: TED KENNEDY CONVENTION SPEECH,,,,,,,,,,local,News Tape,general,,,,barcode194139.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194114,Ten O'Clock News,,,,,,9999-01-01,Field Tape: JIMMY CARTER IN MISSOURI,,,,,,,,,,local,News Tape,general,,,,barcode194114.mkv,,,yes,nothing
Ten O'Clock News,,,video recording identifier,194112,Ten O'Clock News,,,,,,9999-01-01,"Jimmy Carter - Ronald Reagan Debate, reel 1",,,,,,,,,,local,News Tape,general,,,,barcode194112.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227055,Daufuskie Island: Land Where My Fathers Died,,,,,,1991-02-21,No Information,,,,,,,,,,local,Original footage,general,,,,barcode227055.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227431,SAY BROTHER (General Series),,,,,,1968-07-15,Dr. Debra Prothrow-Stith swearing in part 1,,,,,,,,,,local,Original footage,general,,,,barcode227431.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227432,SAY BROTHER (General Series),,,,,,1968-07-15,Dr. Debra Prothrow-Stith swearing in part 2,,,,,,,,,,local,Original footage,general,,,,barcode227432.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227433,Crime And Punishment,,,,,,1989-04-27,Minister Don Muhammad on drugs part 1,,,,,,,,,,local,Original footage,general,,,,barcode227433.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227434,Crime And Punishment,,,,,,1989-04-27,Minister Don Muhammad on drugs part 2,,,,,,,,,,local,Original footage,general,,,,barcode227434.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227436,Crime And Punishment,,,,,,1989-04-27,Sonoma Street at night,,,,,,,,,,local,Original footage,general,,,,barcode227436.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227437,Crime And Punishment,,,,,,1989-04-27,Amanda Houston interview,,,,,,,,,,local,Original footage,general,,,,barcode227437.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227435,Crime And Punishment,,,,,,1989-04-27,Jack Cullen interview,,,,,,,,,,local,Original footage,general,,,,barcode227435.mkv,,,yes,nothing
Say Brother,,,video recording identifier,227705,SAY BROTHER (General Series),,,,,,1968-07-15,Paula Elliot and Friends Jazz band,,,,,,,,,,local,Original footage,general,,,,barcode227705.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228034,SAY BROTHER (General Series),,,,,,1968-07-15,Beth Deare & Barbara Barrow-Murray speak 20 yrs,,,,,,,,,,local,Original footage,general,,,,barcode228034.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228033,SAY BROTHER (General Series),,,,,,1968-07-15,Andrew Jones walking in neighborhood (Washington St. ),,,,,,,,,,local,Original footage,general,,,,barcode228033.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228032,SAY BROTHER (General Series),,,,,,1968-07-15,Andrew Jones interview in his apartment,,,,,,,,,,local,Original footage,general,,,,barcode228032.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228031,SAY BROTHER (General Series),,,,,,1968-07-15,Andrew Jones performing violin w/ symphony,,,,,,,,,,local,Original footage,general,,,,barcode228031.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228030,Impressions,,,,,,1985-10-24,"""Impressions"" Danny Sloan dance company",,,,,,,,,,local,Original footage,general,,,,barcode228030.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228029,SAY BROTHER (General Series),,,,,,1968-07-15,Sistren Theatre group interview,,,,,,,,,,local,Original footage,general,,,,barcode228029.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228028,SAY BROTHER (General Series),,,,,,1968-07-15,A. Philip Randolph statue dedication part 1,,,,,,,,,,local,Original footage,general,,,,barcode228028.mkv,,,yes,nothing
Say Brother,,,video recording identifier,228027,SAY BROTHER (General Series),,,,,,1968-07-15,A.Philp Randolph statue dedication part 2,,,,,,,,,,local,Original footage,general,,,,barcode228027.mkv,,,yes,nothing
