Woo tang batch,woo@foo.edu
Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Publish,Hidden,File,Label,Offset,Skip Transcoding,Absolute Location
,,video recording identifier,194122,Ten O'Clock News,,,,,,,Field Tape: JIMMY CARTER IN CALIFORNIA,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194123,Ten O'Clock News,,,,,,,Field Tape: JIMMY CARTER GARMENT WORKERS,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194124,Ten O'Clock News,,,,,,,Field Tape: JIMMY CARTER IN MISSOURI,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194139,Ten O'Clock News,,,,,,,field tape: TED KENNEDY CONVENTION SPEECH,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194114,Ten O'Clock News,,,,,,,Field Tape: JIMMY CARTER IN MISSOURI,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194112,Ten O'Clock News,,,,,,,"Jimmy Carter - Ronald Reagan Debate, reel 1",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193811,Ten O'Clock News,,,,,,,"Cameras in court Byrne interview reel 2
 Reporter: Griffith",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193810,Ten O'Clock News,,,,,,1/1/76,"Cameras in court Byrne visual
 Reporter: Griffith",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193809,Ten O'Clock News,,,,,,1/1/76,"Cameras in court Byrne visuals
 Reporter: Griffith",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193945,Ten O'Clock News,,,,,,,"Gays and Catholics, July 16
 Reporter: Meg Vaillancourt",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193941,Ten O'Clock News,,,,,,,"Pages, May 16
 Reporter: Meg Vaillancourt",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193942,Ten O'Clock News,,,,,,,"Georges Bank, July 9
 Reporter: Meg Vaillancourt",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193943,Ten O'Clock News,,,,,,,"Stevie Wonder
 Reporter: Meg Vaillancourt",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193939,Ten O'Clock News,,,,,,,"Duke / Drugs (SOT) Dec. 5
 Reporter: Meg Vaillancourt",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193940,Ten O'Clock News,,,,,,,"Dubs 3: (BAD DUB) Computers, Traffic, Social Security, TV in the State House
 Reporter: Meg Vaillancourt",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193933,Ten O'Clock News,,,,,,,"Peter Sellars, Aug. 2
 Reporter: Meg Vaillancourt",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193815,Ten O'Clock News,,,,,,,"Agent Orange, May 7
 Reporter: Meg Vaillancourt",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193814,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Men and Women Voters",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193936,Ten O'Clock News,,,,,,,"Meg Vaillancourt
 MDC dub from show tape",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193845,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Citgo, Nov. 17",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193937,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Spalding Gray, Oct. 1 (Air Date 10/19)
 Chronology: 1980s",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193938,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 High Tech Dub, Nov. 12
 Chronology: 1980s",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193846,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Moon for the Misbegotten, Jan. 11
 Chronology: 1980s",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193934,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Toxic Resolve, Sept. 5
 Chronology: 1980s",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193935,Ten O'Clock News,,,,,,,"Meg Vaillancourt
 Computers Master",,,,,,,,,,general,,,,,,,,
,,video recording identifier,113152,Ten O'Clock News,,,,,,1/1/76,"Ray Shamie as Republican US Senate candidate is compared to Reagan. Excerpt from debate with John Kerry sponsored by Herald. Clips from Reagan ad endorsing Shamie (in which he mispronounces Shamie's name), and Kerry ad in hardware store. Shamie criticizes Kerry for support of raising taxes to control deficit and fund domestic spending.
 
 Length: 4.18
 reporter: George",,,,,,,,,,general,,,,,,,,
,,video recording identifier,193839,Ten O'Clock News,,,,,,,"Christy George field tape
 Navy at BC Jan. 21",,,,,,,,,,general,,,,,,,,
,,video recording identifier,194140,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Education",,,,,,,,,,general,,,,,,,,
,,video recording identifier,194111,Ten O'Clock News,,,,,,,"Jimmy Carter - Ronald Reagan Debate, reel 2",,,,,,,,,,general,,,,,,,,
,,video recording identifier,194113,Ten O'Clock News,,,,,,,DEF footage; Anderson headquarters with band; election night ?,,,,,,,,,,general,,,,,,,,
